example_id,summary,base_cluster_id,base_cluster_name,base_cluster_description
00c8a8bb-5e79-4dbd-bbb8-1d7ec865871d,add something to their list and create something in Teams. This is an outlier as it's not related to technical development or LangChain-specific issues.,27,Handle non-technical administrative and communication outlier requests,"Users submitted a collection of non-technical administrative and communication requests, including team introductions, meeting coordination, spam/phishing inquiries, and platform migration tasks. These requests were predominantly unrelated to LangChain development or AI framework technical issues and represented outlier communications that fell outside the scope of technical development support."
00e5e319-8da7-4d66-82be-74e81fa0ae04,"resolve a technical issue with LangGraph Studio where the Docker volume is consuming excessive storage space (65 GB) despite running fewer than 100 threads across 3 graphs locally, causing the application to fail due to full storage.",62,Resolve LangGraph Docker build and deployment configuration issues,"Users experienced various Docker build and deployment failures when using LangGraph, including missing compiler dependencies, Python version constraints, architecture mismatches, and package version conflicts. They also encountered runtime issues with container configurations, environment variable setup, and dependency management that prevented successful local development and cloud deployment workflows."
00e9106a-6285-4b6f-9e93-91f4fd8b1dd7,"locate and obtain an invoice/receipt for a payment made through their account, as they were unable to find the download option in the billing/payments section of the platform. This is a billing and account-related issue where the customer needed assistance accessing their payment documentation for accounting purposes.",5,Access PDF invoice downloads from LangSmith billing interface,"Users requested access to download PDF invoices and invoice documentation from the LangSmith platform interface for accounting, tax, and business compliance purposes. They encountered difficulties locating download options in the billing section and needed assistance obtaining historical invoices and receipts through the platform's user interface."
012e5c9a-eaa6-4d56-aa8f-beb4859f2015,"get help with a technical issue where the pytest command with the --output=ls flag shows ""no tests ran"" in the terminal output table, even though the tests are actually running successfully and appearing in the testing platform.",53,Fix LangSmith evaluation features and data management functionality,"Users encountered various functional issues with LangSmith's evaluation and data management features, including problems with LLM-as-Judge backfill filters, experiment data visibility, metadata display and export limitations, rate limits for custom evaluators, and dataset validation errors. They also requested technical improvements such as asynchronous data masking operations, configurable precision for feedback scores, documentation for embedding distance features, and solutions for token counting issues with Anthropic models."
0156a386-bc25-4e49-822b-6aa4e2fa0075,"resolve a recurring monthly service outage affecting their organization's access to the platform, and to implement a permanent solution to prevent future disruptions as they prepare to deploy their production system.",82,Scale deployment quotas and resolve platform stability issues,"Users requested to increase their deployment quotas and throughput limits on the cloud platform to support higher concurrency, multiple environments, and scaling requirements as they experienced resource constraints affecting their applications. They also needed resolution of critical deployment stability issues including unexpected deployment disappearances, resource allocation problems, performance bottlenecks, and platform reliability concerns that impacted production services."
01985224-1731-4fc1-9097-a632b66c3c00,"get additional deployments on the platform, obtain a license key for self-hosting on cloud infrastructure, and resolve deployment failures that caused production issues requiring them to switch to an alternative container orchestration system.",46,"Configure self-hosted LangSmith
platform deployment and infrastructure","Users requested
guidance on self-hosted deployment setup, configuration, and management for
LangSmith platform, including infrastructure options, authentication, licensing,
and upgrade procedures. They needed help with deployment environments, custom
domains, cloud storage integration, proxy configurations, and enterprise-grade
installation requirements."
01a22f74-abaa-4367-99dc-825e95d2ca58,increase their deployment quota for their organization's account so they can experiment with more open source agents and accelerate their learning process.,33,Manage AI agent platform deployment quotas and infrastructure scaling,"Users requested deployment quota increases for AI agent platforms to support multi-environment development workflows, testing multiple agents simultaneously, and production scaling scenarios. They also sought guidance on deployment architecture, CI/CD integration, cron job management, and troubleshooting deployment issues like high CPU usage and access errors."
01a5d6d7-79d5-449c-ac38-f7b6036bfd95,"resolve an issue with accessing the OpenTelemetry endpoint in their LangSmith API deployment, which was returning 405 and 404 errors when trying to send POST requests for telemetry data. The issue was resolved by upgrading their helm chart version to include the proper API routing configuration for the OTEL endpoint.",11,Debug LangSmith Kubernetes deployment and infrastructure issues,"<summary>Developers resolved various deployment and infrastructure issues with LangSmith on Kubernetes platforms including EKS and AKS, addressing problems with ClickHouse compatibility, pod crashloops, environment variable configuration, and Helm chart upgrades. They troubleshot API connectivity issues, authentication configuration, database connections, and service outages while working with self-hosted LangSmith deployments in containerized environments."
0242f2b1-5728-4ace-b8dc-fd059eae5294,"add `.langgraph_api` to the `.gitignore` file in template projects, which is a development configuration improvement request for the project repository setup.",21,Troubleshoot LangGraph deployment and runtime environment errors,"Users encountered various deployment, compatibility, and runtime errors when working with LangGraph applications across different environments including local development, cloud platforms, and LangGraph Studio. The issues ranged from CLI build failures and package import errors to environment variable configuration problems and tracing functionality not working correctly in production deployments."
024fc5a9-dc22-496b-9469-efa2d0a9fea8,add a second deployment for their organization's app so they can freeze their current production version while continuing development on an improved version.,34,Increase deployment quotas and resolve workspace access issues,"Users requested deployment quota increases from the default limit of 1 to multiple deployments (typically 2-5) to enable proper development workflows with separate development, staging, and production environments. They also sought guidance on workspace management, access permissions, repository visibility issues, account migration, and platform access requirements for their cloud deployment infrastructure."
025dfbe7-b095-4935-84b8-e1c0bc585406,"get guidance on comparing different LLM providers when prompts need to be adapted for each one, and to learn about DSPy integration with LangChain for automated prompt tuning to reduce manual effort.",106,Configure LangSmith analytics monitoring and evaluation workflows,"Users requested various analytics and monitoring capabilities for LangSmith deployments, including accessing cost data for SQL analysis, filtering LLM outputs, and configuring trace routing. They also sought evaluation features like running LLM judges on datasets, creating annotation queues, and accessing reasoning tokens in structured outputs."
0269e2b7-40e7-4e5a-8638-0c4806ae17f6,"resolve errors in their production deployment where LangChain calls to Gemini are failing, which was ultimately diagnosed and fixed by removing empty content blocks from their prompt template that were causing the Gemini API to throw errors.",64,Resolve LangGraph Cloud and LangSmith production outages and service disruptions,"Users encountered widespread production outages, deployment failures, and service availability issues across LangGraph Cloud and LangSmith services, including billing system problems, API key access failures, and platform-wide DNS/certificate issues. Support teams resolved these incidents by fixing infrastructure problems, deploying targeted bug fixes for token counting and dashboard functionality, addressing billing activation issues, and restoring service access during cloud provider outages."
026d1c12-762c-4a4f-be16-ed149263bf49,"resolve an SSO (Single Sign-On) setup issue with Azure and LangSmith where authentication was failing due to missing JWT claims, specifically a ""missing sub claim"" error that prevented successful login despite Azure authentication succeeding.",37,Configure and troubleshoot SSO authentication in LangSmith LangGraph deployments,"Users encountered various SSO authentication configuration and troubleshooting issues across LangSmith and LangGraph deployments, including session timeout problems, JWT token authentication failures, and OIDC/OAuth setup complications. The requests involved resolving authentication provider integrations, fixing premature logout behaviors, migrating between instances with SSO considerations, and configuring role-based access controls."
0274d891-ff70-4302-afd0-b7bca8d66985,"help resolve a license verification error that occurred after rebuilding their self-hosted LangGraph server, which was previously working but started failing with authentication issues.",67,Resolve self-hosted LangSmith license key configuration and verification issues,"Users encountered various issues with obtaining, configuring, and troubleshooting license keys for self-hosted LangSmith installations. They experienced license verification failures, authentication errors after upgrades, database migration problems, and needed guidance on license key management across different environments and versions."
02874161-ddda-4d5d-8c26-fcdca07d05cd,"get information about security measures and compliance for the platform, specifically related to a security assessment they need to complete.",38,Obtain platform compliance documentation and security certifications,"Users requested compliance documentation and security assessments to meet their organizational requirements for vendor evaluation and regulatory compliance. They sought access to SOC II reports, data processing agreements, privacy policies, GDPR documentation, and security questionnaires through the platform's trust center and support channels."
029cbedd-eca8-4f9d-aeee-35739f9b67ea,"add more seats to their account without upgrading to the enterprise plan, which is a billing and licensing issue related to account capacity limits.",48,Manage account upgrades and regional migrations for compliance,"Users requested account management changes including adding seats beyond current plan limits, upgrading to enterprise plans, and increasing deployment quotas for cloud platforms. They also needed regional account migrations from US to EU regions for compliance purposes, along with information about data retention policies and external database configurations."
02a231a0-77e5-4867-9b0d-7c6b4e94bb3d,provide information about cache control functionality in the Python library after updating to version 0.10.30.,99,Implement API authentication systems and resolve deployment infrastructure issues,"Users needed help implementing and troubleshooting API authentication and authorization systems, including custom backend authentication, API key management, OAuth integration, and user access controls. They also requested guidance on API deployment infrastructure issues such as error handling, retry mechanisms, database migrations, thread management, and configuration problems in cloud and self-hosted environments."
02b93959-393a-4284-89b0-7e400393bb9f,"help reduce storage usage in their database by properly deleting old trace data, but the deletion operations weren't freeing up the expected amount of disk space due to how the database handles lightweight deletes and part merging.",97,Troubleshoot LangSmith production trace logging and platform issues,"Developers encountered various operational issues in their LangSmith production deployments including missing traces, storage optimization problems, data ingestion failures, and UI crashes when viewing specific trace content. They required troubleshooting assistance for trace logging inconsistencies, database cleanup optimization, token metric display bugs, and platform configuration issues affecting trace processing and monitoring capabilities."
02ec9ff0-7de8-4c59-a862-b51cbeca9a77,"follow up on a previous email inquiry, but no specific technical request is provided in this conversation. This appears to be an outlier as it contains only a generic follow-up message without any technical development content.",93,Classify non-technical messages as conversation outliers,"Users submitted various non-technical messages including acknowledgments, follow-ups, test messages, greetings, and roleplay content that contained no actual technical development requests. These conversations were classified as outliers since they lacked any substantive technical queries related to LangChain, AI development, or programming assistance."
02f06be4-867d-44b0-91e6-f481df908f63,"provide assistance with deploying BYOC (Bring Your Own Cloud) and self-hosted LangSmith with managed ClickHouse, with the goal of getting the deployment live as soon as possible.",3,Configure enterprise self-hosted LangSmith deployments with compliance requirements,"Users requested comprehensive guidance for configuring and deploying self-hosted LangSmith platforms across various enterprise environments with specific requirements for SSL compliance, HIPAA regulations, multi-tenant access control, and custom infrastructure setups. These requests focused on technical implementation challenges including database migrations, security policy configurations, permission management systems, and integration with existing enterprise authentication and storage solutions."
02f7b6b3-447f-490e-8fc6-9bff2f2f0c3b,"help with an issue where records are not appearing in a tutorial, but the specific details of the request cannot be determined because the message content was deleted.",111,Debug deleted LangChain support conversations and UI issues,"Users requested technical support for various LangChain-related issues including tutorial records not appearing, UI permissions problems, and structured output functionality, but most message content was deleted making specific problem diagnosis impossible. The requests also included testing platform features like the ""/unthread"" command and investigating deleted conversation data recovery."
0322931e-4ba8-4534-af6c-ac4d6a558d8b,help them add users to an organization in their on-premise instance without using email/SMTP configuration. The issue was ultimately resolved by identifying that their software version was outdated and needed to be upgraded to support the UI-based invitation feature.,81,Fix organization invitation system failures and email delivery issues,"Users needed to
resolve platform invitation system failures where expired invite links, email
validation bugs, and system errors prevented successful user onboarding to
organizations. The issues required support team intervention to manually send
invitations, upgrade software versions, and fix underlying API and database
constraint violations that blocked member invitation workflows."
0327372c-dcfd-4f79-8efd-ad4a776b36d0,"help them resolve a validation error when trying to add LLM call logs (containing System, Human, and AI messages) to a dataset for export as a JSONL file for fine-tuning purposes. The issue was resolved through a call where the support team provided guidance on manually creating the dataset by copying the JSON schema and output to automatically detect the proper schema format.",10,Troubleshoot AI system observability and production deployment issues,"Users experienced various technical issues with AI system observability, monitoring, and production deployment that required troubleshooting and resolution. The problems included incomplete traces, missing telemetry data, webhook feedback issues, deployment failures, high latency, streaming errors, validation problems, and UI functionality bugs across different AI platforms and frameworks."
0328b038-fa6a-41f4-9fa8-7600d6d3774e,"gain access to explore the platform and its tools, which the support team clarified is available through their free plan registration. This is an account access and platform exploration request rather than a specific technical development issue.",123,"Configure platform
access security features and integration partnerships","Users requested
access to platform services, security configurations, and administrative
features including IP whitelisting for database connections, two-factor
authentication setup, beta feature enrollment, and custom integration
partnerships. They sought account management assistance, pricing information,
and guidance on platform capabilities like Few-Shot Search indexing, vanity
URLs, and automated SOP execution workflows."
0340bbc1-0e47-4ea2-8df2-90851b8e64e6,"resolve authentication issues with API calls and understand how to properly implement authentication for frontend applications using the platform, specifically whether to use custom backend authentication or a passthrough server to manage API keys.",99,Implement API authentication systems and resolve deployment infrastructure issues,"Users needed help implementing and troubleshooting API authentication and authorization systems, including custom backend authentication, API key management, OAuth integration, and user access controls. They also requested guidance on API deployment infrastructure issues such as error handling, retry mechanisms, database migrations, thread management, and configuration problems in cloud and self-hosted environments."
034768ab-a3fd-4e1f-abe4-4975609ff28e,schedule a 15-minute discussion about applying agentic AI as the future of microservices infrastructure. This is a business development/partnership inquiry rather than a technical support request.,39,Build multi-agent LangGraph workflows and architectures,"Users requested guidance on architecting and implementing multi-agent systems using LangGraph, including questions about graph structure design, agent hierarchy patterns, message handling between agents, and evaluation strategies for agent workflows. They also sought technical support for building autonomous agentic systems with capabilities like professional networking platform integration, data analysis workflows, and proper handoff mechanisms between different agent types."
035638d0-80b1-43b9-8df1-e86a60346718,"help them bundle traces into Threads using the LangSmith SDK, specifically how to dynamically add metadata at runtime to the trace root rather than just child traces. The user needed guidance on alternative methods to set metadata beyond using Python decorators, which don't support dynamic values generated at runtime.",113,Configure LangSmith tracing customization and integration features,"Users needed to configure and customize LangSmith tracing functionality to meet specific monitoring requirements, including selective parameter capture, metadata access, cost visibility, and trace hierarchy management. They sought to integrate LangSmith with external systems like OpenTelemetry and MITM proxies while customizing trace displays, filtering capabilities, and data retention policies."
035876c4-3c90-48ab-9b15-7189458644a2,"get access to the company's community platform, specifically requesting invitations to join the community for multiple team members after experiencing issues with the standard invitation form.",81,Fix organization invitation system failures and email delivery issues,"Users needed to
resolve platform invitation system failures where expired invite links, email
validation bugs, and system errors prevented successful user onboarding to
organizations. The issues required support team intervention to manually send
invitations, upgrade software versions, and fix underlying API and database
constraint violations that blocked member invitation workflows."
037f0971-386d-41e1-a53d-f85521e04e92,resolve a billing/payment issue related to an invoice payment processing matter. This is classified as a billing-related support request rather than a technical development issue.,107,Resolve billing account and payment processing issues,"Users encountered various billing account issues including incorrect email addresses preventing receipt downloads, duplicate invoices, failed payments, unexpected charge increases, missing payment records, and pricing tier corrections. They also requested administrative assistance with phone verification for banking information, invoice documentation, and payment method changes from credit cards to wire transfers."
03bc1435-5b26-4f25-9371-e2a7bf2d6137,inquire about linking opportunities and SEO link exchanges for their website. This is classified as an outlier since it's unrelated to technical development and instead focuses on marketing/SEO partnerships.,105,Handle unsolicited marketing and SEO service solicitations,"Users received unsolicited marketing communications offering various promotional services including SEO optimization, link building, guest posting, backlink creation, and mobile app development services. These inquiries were unrelated to technical development and primarily consisted of spam solicitations seeking business partnerships or paid promotional opportunities."
03c0886d-1cc0-4fbf-b390-e38157f3f8a9,"fix a bug where the web interface crashes when trying to view specific trace runs that contain base64-encoded images in the prompt, making the run details page inaccessible.",97,Troubleshoot LangSmith production trace logging and platform issues,"Developers encountered various operational issues in their LangSmith production deployments including missing traces, storage optimization problems, data ingestion failures, and UI crashes when viewing specific trace content. They required troubleshooting assistance for trace logging inconsistencies, database cleanup optimization, token metric display bugs, and platform configuration issues affecting trace processing and monitoring capabilities."
03d06a88-0480-4625-a624-11875b0433ae,get help with missing traces in the application and troubleshooting issues with version 0.9.5 that are causing 500 errors after rolling back from a newer version.,124,Debug tracing dashboard visibility and trace data issues,"Users experienced a variety of specific tracing issues within their AI development platform, including missing traces for intermediate nodes, hanging traces, service errors when viewing traces, and problems with trace output appearing as null at the root level. They sought help to debug and resolve these technical problems affecting their ability to monitor and view trace data in the tracing dashboard."
03f522ab-f965-4b7d-a0ad-b015bebd2278,"fix issues with dataset version tagging in the JS client's evaluate function, specifically problems with timestamp precision inconsistencies and incorrect version tagging when examples are deleted, plus they need the ability to tag a specific dataset version after an experiment completes.",121,Debug experiment platform UI and performance issues,"Users encountered multiple issues with the experiment platform's UI functionality, including performance bottlenecks when running large-scale evaluations, data filtering and display bugs, and problems with experiment result visualization. They requested troubleshooting help for resource exhaustion errors, data duplication issues, missing evaluation metrics display, and various UI bugs affecting experiment management workflows."
03f64bcd-62f7-44f2-9dda-338a9ff37651,"share a success story about using LangGraph in production for biological data workflows, rather than requesting technical assistance.",0,Promote LangGraph projects and seek community partnerships,"Users requested promotional and community support for their LangGraph-based projects, seeking social media features, repository contributions, and platform showcases. They also asked for partnership opportunities, community engagement, and visibility for their open-source tools built on the LangGraph framework."
04101b96-6b50-435e-9c58-5db9a02afa45,delete their account from the platform. This is an account-related issue where the user wants their account and associated data removed from the system.,52,Delete individual personal accounts from LangSmith platform,"Users requested deletion of their individual personal accounts from the LangSmith platform, including removal of specific traces and runs, through support channels since self-serve account deletion was not available through the web interface. These requests involved personal account management and data removal, with some users changing authentication methods or updating email addresses associated with their accounts."
0411810d-7bab-44d6-9861-4ec6f42b7a22,"contribute to the open-source project as a developer, offering their skills in data science, machine learning, and big data technologies to help build AI models with low latency and quick training capabilities.",89,Integrate third-party AI models and extend LangChain platform capabilities,"Users requested integrations and feature additions for various AI model platforms, vector stores, and API endpoints within the LangChain ecosystem, including Gemini embeddings, Nova models, ElasticsearchStore configurations, and third-party model integrations. They also sought to contribute open-source tools for fine-tuning data augmentation, clarify package documentation inconsistencies, and resolve technical issues with vision pipeline datasets and evaluation workflows."
041321dc-484b-4480-b0bd-324ee9854289,"fix a bug with caching in their evaluation setup where enabling the test cache environment variable causes a streaming response content error, specifically an issue with accessing streaming response content without having called read() first.",103,Fix LangSmith evaluation platform bugs and configuration issues,"Users experienced various bugs and configuration issues with the LangSmith evaluation platform, including problems with run deletion, experiment overwriting, custom evaluator filtering, and SDK version compatibility. They also encountered errors with online evaluators, caching issues, data display problems, and API integration failures that prevented proper execution and storage of evaluation results."
04286b1a-a63a-4f02-b89e-7590bb91e6ef,"resolve ""Too Many Requests"" errors they are encountering when using the API to extract data, specifically when querying runs from a project using delta records processing.",54,Resolve LangSmith API and server infrastructure errors,"Users encountered various API and server errors when accessing LangSmith platform services, including internal server errors with filtering, rate limiting issues during data extraction, and dashboard functionality bugs. They requested fixes for CSV download problems, API authentication errors, data retrieval failures, and SQL query issues that were blocking their ability to programmatically access experiment data and statistics."
0437815f-075c-4da1-bde7-4fa53bd502bf,"get help with inviting a new member to their workspace, as they encountered an error message saying an invite was already sent but the recipient couldn't find the email invitation.",81,Fix organization invitation system failures and email delivery issues,"Users needed to
resolve platform invitation system failures where expired invite links, email
validation bugs, and system errors prevented successful user onboarding to
organizations. The issues required support team intervention to manually send
invitations, upgrade software versions, and fix underlying API and database
constraint violations that blocked member invitation workflows."
04483e09-2338-42a6-9756-1ae7c4cfb395,"resolve performance issues with evaluators in their workspace, specifically high latency and frequent failures when running evaluations, along with UI inconsistencies when grouping experiment results by metadata keys.",121,Debug experiment platform UI and performance issues,"Users encountered multiple issues with the experiment platform's UI functionality, including performance bottlenecks when running large-scale evaluations, data filtering and display bugs, and problems with experiment result visualization. They requested troubleshooting help for resource exhaustion errors, data duplication issues, missing evaluation metrics display, and various UI bugs affecting experiment management workflows."
0450fa17-0ddb-431b-9560-0e9385a4a61d,"process a refund for their subscription payment after cancelling their unused service, which is a billing and account-related issue rather than a technical development request.",2,Cancel subscriptions and process refunds for billing issues,"Users requested to cancel their subscriptions and obtain refunds for various reasons including expired payment methods, duplicate billing from region migrations, accidental subscription activation, and unused services. These requests involved billing issues, subscription plan changes, and account cancellations due to technical platform complexity or lack of usage."
04934d95-6cd9-44f7-9828-c6a0a08775e4,"help them resolve an issue with deploying a graph on the platform where they cannot see their repository in the dropdown menu, only seeing repositories with active production deployments rather than the one they need to deploy.",34,Increase deployment quotas and resolve workspace access issues,"Users requested deployment quota increases from the default limit of 1 to multiple deployments (typically 2-5) to enable proper development workflows with separate development, staging, and production environments. They also sought guidance on workspace management, access permissions, repository visibility issues, account migration, and platform access requirements for their cloud deployment infrastructure."
04a410fe-81a6-41c4-a992-0abd59401e34,inquire about guest author content submission opportunities for a website. This is an outlier as it's not related to technical development but rather a business/marketing inquiry about content publishing.,23,"Classify
non-technical business inquiries as outliers","Users submitted
various non-technical business inquiries including partnership proposals,
investment opportunities, marketing collaborations, event invitations, and
administrative requests that were unrelated to LangChain or AI development. These
requests were consistently identified and categorized as outliers since they fell
outside the scope of technical development assistance."
04c26ce5-1e55-4927-8150-33b4ce1e192e,"classify this as an outlier. This is a spam message offering to supply oil and fuel products, which is unrelated to technical development or customer support.",110,Classify petroleum sales spam as outliers in support tickets,"Users submitted multiple instances of unsolicited petroleum and fuel commodity sales inquiries that were classified as outliers since they were unrelated to LangChain technical development or customer support. These spam messages typically offered various oil products, aviation fuels, diesel, and crude oil for purchase, requiring classification to filter them from legitimate technical requests."
04cec360-94e7-423a-a769-e873525d3cc4,"report and troubleshoot authentication issues with OAuth login functionality, specifically problems with both social sign-on providers where one returned ""Unknown Error"" and another caused ""request too large"" errors during the redirect process.",95,Resolve LangChain platform authentication and login access issues,"Users experienced various authentication and access issues with the LangChain platform including automatic logouts, login failures, OAuth errors, and session token problems that prevented normal platform access. These issues were resolved through troubleshooting browser conflicts, system clock corrections, session refreshes, and backend authentication system fixes."
04d52328-9dc4-4b83-915d-57c01255a53c,"help with a deployment migration issue where their deployment is running on deprecated legacy infrastructure and the auto-migration failed, requiring manual intervention to create a new working revision before a specified deadline to avoid permanent project deletion.",18,Resolve failed auto-migration from legacy to new deployment infrastructure,Users encountered deployment migration issues where their deployments running on deprecated legacy infrastructure failed to automatically migrate to new infrastructure. They required manual intervention to create new working revisions before specified deadlines to avoid permanent project deletion.
04edab14-a2d6-4a2b-b998-69d4ef9dfa86,"report security vulnerabilities related to HSTS (HTTP Strict Transport Security) and SSL/TLS encryption issues on the company's website, and to request monetary compensation for the vulnerability disclosure.",108,Report security vulnerabilities and inquire about bug bounty programs,"Users reported security vulnerabilities they discovered in the platform and inquired about bug bounty programs for responsible disclosure. They sought information about vulnerability reporting processes, compensation structures, and security contact details for submitting their findings."
0503035f-aacb-443d-95ec-19f136480394,transfer admin role privileges from a terminated employee's account to another employee's account within their organization. This is an account administration and access management issue that was ultimately resolved when the user figured out how to complete the transfer through the dashboard.,14,Resolve LangSmith account email and SSO configuration issues,"Users requested assistance with account email address updates, organization transfers, and SSO authentication issues on the LangSmith platform. They encountered technical problems with email verification, account access after employee turnover, organization visibility, and transferring ownership between personal and business accounts."
05087fba-d0c0-400b-8718-dfa8d4ccfe53,delete their organization and account. This is an account-related issue where the user submitted a data subject access request (DSAR) for account deletion and confirmed their request when prompted by the support team.,29,Process GDPR data subject access requests for account deletion,Users submitted formal data subject access requests (DSAR) under GDPR to delete their personal accounts and organizations from the platform. These requests required verification and confirmation from users before the support team could proceed with complete data deletion and account termination.
0527faff-316e-46ad-a988-499f34c8bf9e,"investigate and explain an unexpected billing charge of over $330 on their account, which appears to be related to a spike in trace usage after switching from base to extended data retention settings, and to request a possible refund for these charges.",43,Dispute LangSmith billing charges for excessive trace generation,"Users requested refunds and billing adjustments for unexpected LangSmith charges caused by system bugs, configuration errors, and runaway processes that generated excessive traces. They sought to dispute invoices ranging from hundreds to tens of thousands of dollars due to unintended trace generation, extended data retention fees, and billing spikes from technical failures."
054128e5-9de6-4b64-849a-cc42061b37bf,delete their account and all personal data from the platform. This is an account-related issue that was successfully processed and completed by the support team.,52,Delete individual personal accounts from LangSmith platform,"Users requested deletion of their individual personal accounts from the LangSmith platform, including removal of specific traces and runs, through support channels since self-serve account deletion was not available through the web interface. These requests involved personal account management and data removal, with some users changing authentication methods or updating email addresses associated with their accounts."
0541441a-3ae3-4906-b28e-3d2210826576,"report a database error they're encountering when trying to access the platform, specifically a ""too many simultaneous queries"" error that's preventing them from using the service normally.",95,Resolve LangChain platform authentication and login access issues,"Users experienced various authentication and access issues with the LangChain platform including automatic logouts, login failures, OAuth errors, and session token problems that prevented normal platform access. These issues were resolved through troubleshooting browser conflicts, system clock corrections, session refreshes, and backend authentication system fixes."
