example_id,summary,base_cluster_id,cluster_name,category
0f9c8dca-08a9-41b5-a7c9-3a277709f9f7,User received potential spam/phishing message claiming to be from HR requesting document signature via suspicious link,10,Handle Admin security spam and phishing prevention,Admin/Account management
102c428d-f8a6-49ad-8a60-59d06bc6c9c4,account deletion help with LangSmith Product for account management,2,Handle LangSmith account deletion and data privacy compliance,Admin/Account management
103b0f52-1564-4376-aa76-2826231793f8,"User sent unsolicited business offer for petroleum products to LangChain support, which was declined and ticket closed",3,Filter commercial spam communications misdirected to support channels,Admin/Account management
1052e9d5-6650-41bb-a705-913afc7207a9,account deletion help with LangSmith account management for DSAR compliance,2,Handle LangSmith account deletion and data privacy compliance,Admin/Account management
106fbca3-a035-44de-b6b2-42d67a075093,User received potential spam/phishing message claiming to be document signature request from HR system with suspicious link,10,Handle Admin security spam and phishing prevention,Admin/Account management
108c641c-6d07-4106-933d-9fb5b89b5fad,billing/account issues help with duplicate account management for account consolidation and refund processing,12,Resolve Admin billing invoice generation and document management issues,Admin/Account management
10e8b819-5ef6-4e77-8469-80f4ebc65b04,account management help with LangSmith account setup including email confirmation issues and subscription transfer between personal and organization accounts,11,Resolve LangSmith authentication and account setup email delivery issues,Admin/Account management
10f27341-9f5d-4215-adf2-9675f963a146,account management help with organization deletion for accidentally created empty organization,7,Handle Admin account deletion for GDPR DSAR compliance,Admin/Account management
111c5ee7-9527-401b-b831-eb59c4e5532d,account deletion help with organization management for DSAR compliance request,7,Handle Admin account deletion for GDPR DSAR compliance,Admin/Account management
1159dd2c-55db-4ec9-8cf3-2223442cf338,account deletion help with LangSmith account management for complete account termination,2,Handle LangSmith account deletion and data privacy compliance,Admin/Account management
11723ccb-0c70-41e5-915c-616257be3dc2,communication help with account management for basic user mention functionality,11,Resolve LangSmith authentication and account setup email delivery issues,Admin/Account management
11954e7b-db9f-430e-a824-f9c81de53200,User received unsolicited business invitation email unrelated to LangChain products - this appears to be spam/phishing content about oil and gas procurement opportunities,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
12030733-1495-4c23-8060-ff5a6071f807,"User received potential spam or automated email with suspicious electronic document notification claiming to be from a vendor, containing financial information and authorization details in Spanish",10,Handle Admin security spam and phishing prevention,Admin/Account management
121fb0bb-720d-4fa3-8706-43ea8c29b390,account management help with organization deletion for administrative purposes,7,Handle Admin account deletion for GDPR DSAR compliance,Admin/Account management
12408e8d-ee28-4033-9dbc-4de8a887a8f9,account deletion help with organization management for GDPR compliance,7,Handle Admin account deletion for GDPR DSAR compliance,Admin/Account management
12422b61-1c08-4db4-93f7-e7d4156bc948,User provided a general acknowledgment response with minimal context,8,Handle non-technical administrative support ticket communications and system responses,Admin/Account management
126c1751-09e2-42e9-bb6b-d4c8497bad2f,sales consultation help with enterprise plan pricing for business account setup,17,Configure LangSmith billing plan setup and subscription management,Admin/Account management
127da360-5e15-4e05-9c10-4b52f01747a1,account access help with LangSmith account management for transitioning ownership from former employee and downloading usage receipts,18,Handle LangSmith admin ownership transfers and regional account migrations,Admin/Account management
12f467b8-b9ff-4796-aa85-5cc2ca98bb55,"User reported DNSSEC security vulnerability on company domain and requested bug bounty compensation, but was informed the domain is not part of the bug bounty program, leading to user threatening to publish the vulnerability publicly",9,Handle unsolicited marketing and spam communications to support channels,Admin/Account management
1315c2a4-843c-46e0-a20d-606c8af100c0,User received spam or irrelevant automated one-time passcode message that appears to be unrelated to any LangChain products,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
1330ffaa-caec-46fb-90e9-8d4954afdadf,follow-up communication regarding a previous email inquiry with no specific technical details provided,8,Handle non-technical administrative support ticket communications and system responses,Admin/Account management
13856c92-eac9-457d-83a4-e890a20182fc,"User reported potential spam/phishing email from external HR service requesting document signature via third-party platform, requesting ticket closure and spam filter updates",10,Handle Admin security spam and phishing prevention,Admin/Account management
13b7a0bb-3f54-4c1b-a1ee-098b77a2b4ab,account management help with LangSmith account ownership transfer and reactivation due to disabled organization from failed payments,18,Handle LangSmith admin ownership transfers and regional account migrations,Admin/Account management
141263b7-d993-44de-8a21-22de55102caa,account deletion help with LangSmith platform for duplicate account management,2,Handle LangSmith account deletion and data privacy compliance,Admin/Account management
14204b55-b2ff-45f1-afac-7a0a7a51d2b5,External company requested partnership/affiliate program opportunity with LangChain team for promotional marketing purposes,16,Handle business partnership and collaboration inquiries for LangChain,Admin/Account management
14286ba0-8eb0-4627-8816-d88075c19ff8,billing/payment help with payment processing issues due to insufficient funds and refund coordination,12,Resolve Admin billing invoice generation and document management issues,Admin/Account management
145634b5-8a17-483d-a8dc-e3186ede919e,billing/account issues help with LangSmith Product for seat limit increase on startup plan,17,Configure LangSmith billing plan setup and subscription management,Admin/Account management
149d744f-67d1-4ee2-90f0-e578059ad668,account deletion help with organization management for GDPR compliance data subject access request,7,Handle Admin account deletion for GDPR DSAR compliance,Admin/Account management
14afb519-57b9-4a1b-bca5-0f83d1270422,User received unsolicited SEO promotional services offer for langchain.dev website - not a legitimate support request,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
14e395a3-9d38-4bc1-9a1b-243af3adc32d,billing/account management help with LangSmith Product for startup plan migration from non-EU to EU tenant,18,Handle LangSmith admin ownership transfers and regional account migrations,Admin/Account management
15134641-e984-4fcd-9805-dd0871bb6bda,User received spam inquiry about domain ownership unrelated to LangChain products,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
15b908ac-40ae-43b9-807c-48305ba4d4da,account management help with LangSmith organization deletion and personal organization reset for default tracing project restoration,2,Handle LangSmith account deletion and data privacy compliance,Admin/Account management
160e940c-de71-43cc-89d2-4999e1401838,User received promotional/marketing outreach from external AI marketplace platform seeking business partnership opportunity,9,Handle unsolicited marketing and spam communications to support channels,Admin/Account management
163a26ed-a0b2-4132-8096-0a9df8182ec9,collaboration/partnership help with business development for marketplace integration,16,Handle business partnership and collaboration inquiries for LangChain,Admin/Account management
16525d9b-d752-464f-af64-c723c1f1964c,account deletion help with organization and account management for DSAR compliance request,7,Handle Admin account deletion for GDPR DSAR compliance,Admin/Account management
16738adc-46db-49a6-80ad-cc923b08885b,"billing/account management help with LangSmith subscription refund, credit card removal, and complete account deletion after canceling service on same day as subscription",4,Handle LangSmith subscription cancellation and billing refund requests,Admin/Account management
16ff8a76-6467-4e05-9f7c-300765e51914,User received spam or irrelevant message about completing business tasks for a third-party company unrelated to LangChain products,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
17093633-6264-4e34-a427-7cbaad37e960,User submitted a job opening advertisement for a Customer Service Representative / Data Entry Clerk position instead of requesting technical support,9,Handle unsolicited marketing and spam communications to support channels,Admin/Account management
17a28551-5718-4228-b9b0-b5cbbbbd8603,"This is spam/promotional content offering SEO and backlink services, not a legitimate support conversation about any LangChain products",3,Filter commercial spam communications misdirected to support channels,Admin/Account management
17e441b2-3f03-406e-882a-96bfcc17fdd0,billing help with LangSmith subscription regarding unexpected charges after cancellation,4,Handle LangSmith subscription cancellation and billing refund requests,Admin/Account management
17ea37ff-4acb-43c3-aec7-f97c079875f4,billing/account issues help with LangSmith product for usage limit recovery after exceeding monthly trace quota,4,Handle LangSmith subscription cancellation and billing refund requests,Admin/Account management
181b0df4-b2d7-4ef9-b1df-abcb6b4c19c3,authentication/access help with LangSmith API key revocation for account management,15,Resolve LangSmith authentication and organization access issues,Admin/Account management
185f61d1-2efd-4f82-b658-1e739402a905,billing help with LangSmith for invoice re-issuance with company name,12,Resolve Admin billing invoice generation and document management issues,Admin/Account management
185fe408-de5e-431b-8207-ba86463d2b4a,"billing/account issues help with duplicate charges for LangSmith Plus Plan across two separate organizations in different regions, resulting in refund and account consolidation",4,Handle LangSmith subscription cancellation and billing refund requests,Admin/Account management
1891fa10-d7a2-4a2f-9145-81a9e1046c29,billing help with revised invoice for refunded charges and prorated seat billing adjustments,12,Resolve Admin billing invoice generation and document management issues,Admin/Account management
19149155-fc7a-4edd-860c-217827aa4b37,User received unsolicited SEO outreach services offer with cryptocurrency website links - this appears to be spam/marketing content unrelated to any LangChain products or technical support,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
1928054e-acd8-46a8-bc00-b8afac7b5b1a,account management help with LangSmith user replacement to transfer access from outgoing team member to new user without additional charges,18,Handle LangSmith admin ownership transfers and regional account migrations,Admin/Account management
1985c809-647c-4497-b20e-ba78579ba098,account management help with welcome message issue for basic account setup,11,Resolve LangSmith authentication and account setup email delivery issues,Admin/Account management
1a05aec0-95de-4154-b4da-b81459a62e3b,billing/account management help with LangSmith account for invoice email update,12,Resolve Admin billing invoice generation and document management issues,Admin/Account management
1a22de22-3d97-4842-ad36-26c31afc53cc,authentication/access help with LangSmith product for SSO transition implementation - user was forbidden from accessing tracing projects and evals during organization's transition to SSO-only authentication,15,Resolve LangSmith authentication and organization access issues,Admin/Account management
1a396815-1338-4aed-a059-e69acb2ac9f9,account deletion help with Admin/Account management for GDPR compliance,7,Handle Admin account deletion for GDPR DSAR compliance,Admin/Account management
1abc66b4-631a-4ef6-a4ee-4b9c5c05dabe,partnership/collaboration help with LangChain organization for hackathon event sponsorship,16,Handle business partnership and collaboration inquiries for LangChain,Admin/Account management
1aca6ea2-1a73-41d5-bdea-18fb79e27593,billing/account issues help with organization seat limit increase for account management,14,Increase LangGraph Platform and LangSmith deployment quota limits for organizational scaling,Admin/Account management
1b104117-1b70-49b4-82d7-d267e1b3c511,authentication/access help with workspace member management due to invalid token error caused by expired session,15,Resolve LangSmith authentication and organization access issues,Admin/Account management
1b2449c6-6a76-4d1e-bbbd-da43816c292a,authentication/access help with LangSmith login functionality for GitHub and Google OAuth providers,15,Resolve LangSmith authentication and organization access issues,Admin/Account management
1b8e0bc4-e2c2-4182-a22f-3f0ddd6df7fa,sponsored content placement for gambling-themed article with dofollow link on company website,6,Handle unsolicited guest posting and SEO marketing outreach attempts,Admin/Account management
1bf7f5b2-1616-4b72-b6a5-51ab854588ae,contact/outreach help with Admin/Account management for business development suggestions,18,Handle LangSmith admin ownership transfers and regional account migrations,Admin/Account management
1c71049a-63d6-40d6-b82d-b879f3a7560d,"data region migration help with LangSmith account management for organization and user accounts from US to EU region, including subscription credit transfer",18,Handle LangSmith admin ownership transfers and regional account migrations,Admin/Account management
1cab92e2-9ef6-4c8b-8641-0c77f929367d,account deletion help with LangSmith for DSAR compliance request,2,Handle LangSmith account deletion and data privacy compliance,Admin/Account management
1dd00877-f6c3-4db8-aaeb-bd60a28eda41,account deletion help with organization account management for GDPR compliance,7,Handle Admin account deletion for GDPR DSAR compliance,Admin/Account management
1e097871-6693-4ef1-b085-fdf173fbd789,follow-up communication regarding a previously sent email from two days ago,8,Handle non-technical administrative support ticket communications and system responses,Admin/Account management
1e8792b9-3c1b-40ad-9b5c-79d9e74581b4,account management help with organization deletion to remove a test organization and avoid confusion with their official organization,7,Handle Admin account deletion for GDPR DSAR compliance,Admin/Account management
1ebc0140-1416-4ba3-890a-26142a0a4a80,meeting reschedule due to lead developer unavailability for business coordination,5,Handle non-technical business outreach and administrative coordination requests,Admin/Account management
1ef433b6-6eee-48b9-8c38-152df71d4db8,User received unsolicited marketing email for mobile app development services unrelated to LangChain products,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
1ef9cbc7-3da5-4f8b-89fb-f3025cfa8e78,account deletion help with LangSmith platform for data privacy compliance,2,Handle LangSmith account deletion and data privacy compliance,Admin/Account management
1f1fe833-7e75-4279-a637-fcc9cc60be26,"User received potential phishing/spam email requesting document signature through third-party service claiming to be from company, support team responded clarifying this was not legitimate company communication and advised security precautions",10,Handle Admin security spam and phishing prevention,Admin/Account management
1f47cab0-fd73-443e-87c6-c69e5d487d9c,billing/account issues help with LangSmith product for unexpected charges due to extended data retention settings from legacy account configuration,4,Handle LangSmith subscription cancellation and billing refund requests,Admin/Account management
1fa105f8-e92d-453b-af62-00297a669970,marketing/promotional support for recruitment post featuring LangChain tools usage at their company,6,Handle unsolicited guest posting and SEO marketing outreach attempts,Admin/Account management
200fac38-3089-4b9c-92c7-870622f82cf1,Security researcher inquired about bug bounty program and penetration testing services for critical vulnerabilities discovered across LangChain products,16,Handle business partnership and collaboration inquiries for LangChain,Admin/Account management
211e1276-ecf7-4b3c-980a-76246f256d33,academic access and research grants for LangChain and LangSmith for university research project on AI-powered agent design and creative automation,16,Handle business partnership and collaboration inquiries for LangChain,Admin/Account management
21683070-da74-4c53-b986-4b442f1528f8,account deletion help with organization and account management for DSAR compliance,7,Handle Admin account deletion for GDPR DSAR compliance,Admin/Account management
2199e1cf-0dce-42f0-b747-37507e872248,User sent a brief acknowledgment message with no specific technical request or issue identified,8,Handle non-technical administrative support ticket communications and system responses,Admin/Account management
21b2c88f-972c-4d50-af92-4f87545a8fc8,authentication help with LangSmith account login - not receiving confirmation email during login process,11,Resolve LangSmith authentication and account setup email delivery issues,Admin/Account management
22113662-ef37-4cfc-917a-fbd6372b550b,authentication/access help with LangChain Slack community for joining community discussions,15,Resolve LangSmith authentication and organization access issues,Admin/Account management
2245e97d-a34c-44d5-9826-a39df52157e8,general communication about sync meeting cancellation for team coordination,5,Handle non-technical business outreach and administrative coordination requests,Admin/Account management
225848f5-43c1-4c89-9d23-9cf1ce2c8935,billing/account management help with subscription cancellation for administrative account management,4,Handle LangSmith subscription cancellation and billing refund requests,Admin/Account management
2295167a-8824-4cdc-8952-b55415b69061,compliance/security help with LangChain platform for third-party security assessment regarding insufficient logging and monitoring requirements,13,Process enterprise legal compliance documentation for LangChain products,Admin/Account management
22d5e6f7-a8a8-423c-982d-896c1983d632,account deletion help with LangChain account for administrative account management,2,Handle LangSmith account deletion and data privacy compliance,Admin/Account management
2302bf76-ab0b-4d1c-bf51-a6a34670a949,User received potential spam/phishing message claiming to be from HR requesting document signature through external platform link,10,Handle Admin security spam and phishing prevention,Admin/Account management
2382169d-f63f-4d21-bd15-00496e96a50c,account limit increase help with LangGraph Platform for organization deployment quota management,14,Increase LangGraph Platform and LangSmith deployment quota limits for organizational scaling,Admin/Account management
23d21a96-b825-48f8-aa03-1578c3d73bf8,authentication/access help with LangSmith account access for production outage resolution - unable to access account preventing services from retrieving prompts and pushing traces,15,Resolve LangSmith authentication and organization access issues,Admin/Account management
